安宁,an1ning2,peaceful;tranquil;calm;composed
结算,jie2suan4,to settle a bill;to close an account
紧迫,jin3po4,pressing;urgent
兢兢业业,jing1jing1ye4ye4,cautious and conscientious
竞赛,jing4sai4,race;competition;CL:個|个[ge4]
局限,ju2xian4,limit
开采,kai1cai3,to extract (ore or other resource from a mine);to exploit;to mine
考察,kao3cha2,to inspect;to observe and study;on-the-spot investigation
啃,ken3,to gnaw;to nibble;to bite
枯燥,ku1zao4,dry and dull;uninteresting;dry-as-dust
扩散,kuo4san4,to spread;to proliferate;to diffuse;spread;proliferation;diffusion
类似,lei4si4,similar;analogous
利率,li4lv4,interest rates
谅解,liang4jie3,(reach) an understanding
领袖,ling3xiu4,leader;CL:個|个[ge4],位[wei4],名[ming2]
轮胎,lun2tai1,tire;pneumatic tire
埋伏,mai2fu2,ambush
媒介,mei2jie4,media;medium
迷信,mi2xin4,superstition
敏锐,min3rui4,keen;sharp;acute
莫名其妙,mo4ming2qi2miao4,unfathomable mystery (idiom);subtle and ineffable;unable to make head or tail of it;boring (e.g. movie)
内涵,nei4han2,meaning;content;essential properties implied or reflected by a notion;intention;connotation;self-possessed
农历,nong2li4,the traditional Chinese calendar;the lunar calendar
畔,pan4,bank;field-path
皮革,pi2ge2,leather;CL:張|张[zhang1]
贫困,pin2kun4,impoverished;poverty
迫不及待,po4bu4ji2dai4,impatient (idiom);in a hurry;itching to get on with it
歧视,qi2shi4,to discriminate against;discrimination
气功,qi4gong1,qigong, a system of deep breathing exercises
迁就,qian1jiu4,to yield;to adapt to;to accommodate to (sth)
锲而不舍,qie4er2bu4she3,to chip away at a task and not abandon it (idiom);to chisel away at sth;to persevere;unflagging efforts
倾向,qing1xiang4,trend;tendency;orientation
曲折,qu1zhe2,complicated;winding
瘸,que2,lame
人家,ren2jia,other;other people;him(her, them);I
溶解,rong2jie3,dissolve;solution
色彩,se4cai3,tint;coloring;coloration;character
捎,shao1,to bring sth to sb (news etc)
神气,shen2qi4,expression;manner;spirited;vigorous
声势,sheng1shi4,momentum
失误,shi1wu4,lapse;mistake;to make a mistake;fault;service fault (in volleyball, tennis etc)
实质,shi2zhi4,substance;essence
试图,shi4tu2,to attempt;to try
首要,shou3yao4,the most important;of chief importance
耍,shua3,to play with;to juggle
私自,si1zi4,private;personal;secretly;without explicit approval
随身,sui2shen1,to (carry) on one's person;to (take) with one
弹性,tan2xing4,flexibility;elasticity (physics)
提拔,ti2ba2,to promote to a higher job;to select for promotion
调和,tiao2he2,harmonious;harmony
通俗,tong1su2,common;everyday;average
途径,tu2jing4,way;channel
妥协,tuo3xie2,to compromise;to reach terms;a compromise
顽强,wan2qiang2,tenacious;hard to defeat
违背,wei2bei4,to violate;to be contrary to
温和,wen1he2,moderate (policy etc)
无精打采,wu2jing1da3cai3,dispirited and downcast (idiom);listless;in low spirits;washed out
误解,wu4jie3,to misunderstand;to misread;misunderstanding
细菌,xi4jun1,bacterium;germ;CL:種|种[zhong3]
贤惠,xian2hui4,chaste;virtuous
乡镇,xiang1zhen4,village;township
孝顺,xiao4shun,filial piety;to be obedient to one's parents
新娘,xin1niang2,bride
兴旺,xing1wang4,prosperous;thriving;to prosper;to flourish
修建,xiu1jian4,to build;to construct
旋律,xuan2lv4,melody;rhythm
押金,ya1jin1,deposit;cash pledge
延期,yan2qi1,to delay;to extend;to postpone;to defer
验收,yan4shou1,to check on receipt;an inventory of received goods;to verify and accept (a delivery)
野蛮,ye3man2,barbarous;uncivilized
依托,yi1tuo1,to rely on;to depend on
异常,yi4chang2,exceptional;abnormal;an anomaly
饮食,yin3shi2,food and drink
涌现,yong3xian4,to emerge in large numbers;to spring up;to emerge prominently
舆论,yu2lun4,public opinion
冤枉,yuan1wang,hatred;injustice;bad luck;unjust treatment;wronged;not worthwhile
运行,yun4xing2,be in motion;to move;to run
赞助,zan4zhu4,to support;to assist;sponsor
摘要,zhai1yao4,summary;abstract
长辈,zhang3bei4,elder generation
侦探,zhen1tan4,detective;to do detective work
征服,zheng1fu2,conquer;subdue;vanquish
郑重,zheng4zhong4,serious
职务,zhi2wu4,post;position;job;duties
滞留,zhi4liu2,to detain;retention
终止,zhong1zhi3,to stop;to terminate (law)
株,zhu1,tree trunk;stump (tree root);a plant;classifier for trees or plants;to involve others (in shady business)
住宅,zhu4zhai2,residence;tenement
庄严,zhuang1yan2,stately
姿态,zi1tai4,attitude;posture;stance
走廊,zou3lang2,corridor;aisle;hallway;colonnade;passageway;piazza;veranda
作弊,zuo4bi4,to practice fraud;to cheat;to engage in corrupt practices
